project_title,technology name
project1,Solar Panels
project2,Solidworks
project3,Lithium battery
project4,Active carbon filtration
project5,PCB router
project6,Laser cutter
project7,Polyjet 3d printing
project8,FDM 3d printing
project9,Ultimaker desktop 3d printing
project10,CNC mills
project11,Waterjet
project12,3d scanner
project13,Blender 3d modeling
project14,Ultimaker Cura modeling
project15,Corel Draw
project16,Water booster pump
project17,Arduino
project18,Python
project19,Unity 
project20,Adobe Photoshop
project21,Adobe Illustrator
project22,Procreate
project23,Mig/Tig Welders
project24,Soldering
project25,Solar Panels
project26,Solidworks
project27,Lithium battery
project28,Active carbon filtration
project29,PCB router
project30,Laser cutter
project31,Polyjet 3d printing
project32,FDM 3d printing
project33,Ultimaker desktop 3d printing
project34,CNC mills
project35,Waterjet
project36,3d scanner
project37,Blender 3d modeling
project38,Ultimaker Cura modeling
project39,Corel Draw
project40,Water booster pump
project41,Arduino
project42,Python
project43,Unity 
project44,Adobe Photoshop
project45,Adobe Illustrator
project46,Procreate
project47,Mig/Tig Welders
project48,Soldering
project49,Solar Panels
project50,Solidworks
project51,Lithium battery
project52,Active carbon filtration
project53,PCB router
project54,Laser cutter
project55,Polyjet 3d printing
project56,FDM 3d printing
project57,Ultimaker desktop 3d printing
project58,CNC mills
project59,Waterjet
project60,3d scanner
project61,Blender 3d modeling
project62,Ultimaker Cura modeling
project63,Corel Draw
project64,Water booster pump
project65,Arduino
project66,Python
project67,Unity 
project68,Adobe Photoshop
project69,Adobe Illustrator
project70,Procreate
project71,Mig/Tig Welders
project72,Soldering
project73,Solar Panels
project74,Solidworks
project75,Lithium battery
project76,Active carbon filtration
project77,PCB router
project78,Laser cutter
project79,Polyjet 3d printing
project80,FDM 3d printing
project81,Ultimaker desktop 3d printing
project82,CNC mills
project83,Waterjet
project84,3d scanner
project85,Blender 3d modeling
project86,Ultimaker Cura modeling
project87,Corel Draw
project88,Water booster pump
project89,Arduino
project90,Python
project91,Unity 
project92,Adobe Photoshop
project93,Adobe Illustrator
project94,Procreate
project95,Mig/Tig Welders
project96,Soldering
project97,Solar Panels
project98,Solidworks
project99,Lithium battery
project100,Active carbon filtration
project101,PCB router
project102,Laser cutter
project103,Polyjet 3d printing
project104,FDM 3d printing
project105,Ultimaker desktop 3d printing
project106,CNC mills
project107,Waterjet
project108,3d scanner
project109,Blender 3d modeling
project110,Ultimaker Cura modeling
project111,Corel Draw
project112,Water booster pump
project113,Arduino
project114,Python
project115,Unity 
project116,Adobe Photoshop
project117,Adobe Illustrator
project118,Procreate
project119,Mig/Tig Welders
